time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.pose.position.x,.pose.position.y,.pose.position.z,.pose.orientation.x,.pose.orientation.y,.pose.orientation.z,.pose.orientation.w
1970/01/01/01:04:38.660000,5568,278,660000000,world,-22.11634131228806,0.004359298963247931,-16.995941723553145,0.01498988773244208,-5.959794515479575e-05,0.9998801105996791,0.0038812550840553166
1970/01/01/01:04:38.710000,5569,278,710000000,world,-22.138577506261335,0.00455156246205648,-16.995880900562653,0.01489265226278974,-0.00017775714029501433,0.999880638285305,0.004109317844815438
1970/01/01/01:04:38.760000,5570,278,760000000,world,-22.160681529237188,0.004742165960040765,-16.995802344598843,0.014826124134578565,-0.00024444190112749226,0.9998842774597708,0.0033997029363182505
1970/01/01/01:04:38.810000,5571,278,810000000,world,-22.1828387235873,0.004934873683964832,-16.995701485561504,0.01481249044034639,-0.0002111143338725768,0.9998882074102757,0.002029344612908731
1970/01/01/01:04:38.860000,5572,278,860000000,world,-22.2047308406704,0.005127488008207161,-16.99558651618405,0.014736881757666907,-7.124500106806928e-05,0.9998912356741927,0.0005797086737976858
1970/01/01/01:04:38.910000,5573,278,910000000,world,-22.226280563684544,0.005317533780438522,-16.99545963763683,0.014620210598941776,3.715733195930969e-05,0.9998929211348719,-0.0006279536193700241
1970/01/01/01:04:38.960000,5574,278,960000000,world,-22.247580489781555,0.005503104607793945,-16.995318688457907,0.014508926389132589,8.715640587424099e-05,0.9998937913999681,-0.0013745466862691582
1970/01/01/01:04:39.010000,5575,279,10000000,world,-22.268673900502066,0.005681904445199842,-16.995162696164474,0.014409100534680508,3.930681158090846e-05,0.9998952312014482,-0.0013794554572441645
1970/01/01/01:04:39.060000,5576,279,60000000,world,-22.28964838513831,0.005851248574329248,-16.994989642826486,0.014339961495404814,-0.00010134076598372579,0.9998970671456142,-0.0004586370662567247
1970/01/01/01:04:39.110000,5577,279,110000000,world,-22.310695134053095,0.006009135944403754,-16.994796313261,0.014325499274117347,-0.00019645708674413274,0.9998967557038346,0.0011042681316418303
1970/01/01/01:04:39.160000,5578,279,160000000,world,-22.331498668868434,0.0061570891051802926,-16.994594932888475,0.014251333914850008,-0.00022601782942766936,0.999894694883683,0.0027290183316563566
